relative_sec,EEG1,EEG2,EEG3,EEG4
1.98,-1358.191418,-1584.932202,-1404.510079,-1794.951894
1.985,-1380.398944,-1587.048986,-1411.54483,-1800.606623
1.99,-1340.213719,-1594.756919,-1398.728193,-1803.908954
1.995,-1266.440452,-1594.547485,-1414.630248,-1788.73618
2,-1335.045177,-1580.646277,-1411.017505,-1803.433987
2.005,-1330.957466,-1568.828193,-1396.499213,-1792.659335
2.01,-1348.172226,-1573.682583,-1398.249486,-1787.064445
2.015,-1347.184892,-1563.33428,-1382.504507,-1784.64099
2.02,-1332.535704,-1564.587146,-1381.472295,-1800.161575
2.025,-1344.989571,-1552.439951,-1387.295319,-1778.485115
2.03,-1348.894026,-1562.245969,-1376.468309,-1786.226707
2.035,-1340.991618,-1547.555642,-1368.173211,-1781.806146
2.04,-1247.853149,-1562.242229,-1367.601006,-1781.806146
2.045,-1198.980137,-1555.49919,-1385.058859,-1778.470155
2.05,-1369.515835,-1559.867393,-1404.753172,-1785.123437
2.055,-1300.181829,-1566.789948,-1414.435773,-1799.937181
2.06,-1226.393603,-1578.66039,-1404.936427,-1795.651255
2.065,-817.072773,-1587.508993,-1425.898566,-1798.635696
2.07,-895.285301,-1577.979728,-1406.256612,-1799.237819
2.075,-950.766716,-1583.196889,-1410.628555,-1793.781305
2.08,-989.695335,-1578.473395,-1415.6849,-1790.684668
2.085,-891.122792,-1588.062498,-1420.954419,-1799.301398
2.09,-1182.122538,-1578.29014,-1426.055642,-1796.922821
2.095,-1428.411779,-1558.191918,-1422.77575,-1796.623629
2.1,-1858.576942,-1543.957858,-1426.362314,-1776.749801
2.105,-1798.959197,-1528.441013,-1411.2045,-1755.447331
2.11,-1727.745892,-1518.160028,-1420.715065,-1760.006269
2.115,-1662.793179,-1551.905146,-1422.222245,-1777.52022
2.12,-1668.489047,-1569.359259,-1428.02657,-1792.004853
2.125,-1642.092833,-1576.195796,-1401.813611,-1795.916788
2.13,-1652.904884,-1563.741929,-1425.412379,-1800.120436
2.135,-1640.798828,-1584.546993,-1417.341675,-1800.083037
2.14,-1634.642952,-1576.517427,-1408.17892,-1773.683083
2.145,-1661.828285,-1579.150317,-1407.588016,-1791.791679
2.15,-1644.766862,-1584.202922,-1429.010163,-1800.72256
2.155,-1666.289986,-1585.0257,-1439.526762,-1816.590955
2.16,-1733.196796,-1593.485353,-1431.194265,-1807.024291
2.165,-1662.161136,-1589.704315,-1415.797097,-1822.346661
2.17,-1698.082875,-1586.050432,-1404.300644,-1818.920913
2.175,-1648.708716,-1590.781406,-1432.185338,-1805.360036
